ID,名刺画像ファイル名（表）,名刺画像ファイル名（裏）,回答日時,Q1.弊社ブースにお立ち寄り頂いた目的をお選びください（複数選択可）,Q2.導入を予定されている時期をお選びください,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［導入のコスト］,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［維持管理のコスト］,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［導入までのスピード］,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［導入による業務効率化］,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［他システムとの連携］,Q3.導入のご検討にあたり重要視しているポイントをお知らせください［アフターフォロー］,Q4.弊社からご案内する希望の情報をお選びください（複数選択可）,Q5.その他、ご意見・ご要望があれば、ご記入ください
00000001,0000000582_00000001_1.jpg,0000000582_00000001_2.jpg,2026-06-15 09:35:45,製品Aの導入を検討、情報収集,1年以内,非常に重要視している,重要視している,確認・比較はしている,重要視している,あまり重要としていない,確認・比較はしている,営業担当からの説明・ご提案,
00000002,0000000582_00000002_1.jpg,,2026-06-15 09:39:02,製品Cの導入を検討、その他,直ぐにでも,非常に重要視している,非常に重要視している,重要視している,重要視している,確認・比較はしている,あまり重要としていない,お見積り,会場が混んでいてゆっくり聞けなかったので、改めて訪問説明を希望します。
00000003,0000000582_00000003_1.jpg,,2026-06-15 09:41:30,製品Cの導入を検討、情報収集、その他,1年以内,重要視している,重要視している,重要視している,非常に重要視している,確認・比較はしている,確認・比較はしている,営業担当からの説明・ご提案,
00000004,0000000582_00000004_1.jpg,0000000582_00000004_2.jpg,2026-06-15 09:46:00,製品Aの導入を検討、製品Cの導入を検討,1年以内,確認・比較はしている,確認・比較はしている,非常に重要視している,非常に重要視している,重要視している,確認・比較はしている,お見積り、デモ・テスト導入,
00000005,0000000582_00000005_1.jpg,,2026-06-15 09:47:46,製品Bの導入を検討,検討中だが時期未定,重要視している,非常に重要視している,非常に重要視している,重要視している,非常に重要視している,確認・比較はしている,デモ・テスト導入,予算取りの参考にしたいので概算見積りをお願いします。
00000006,0000000582_00000006_1.jpg,0000000582_00000006_2.jpg,2026-06-15 09:58:15,製品Aの導入を検討,直ぐにでも,重要視している,重要視している,確認・比較はしている,確認・比較はしている,あまり重要としていない,重要視している,営業担当からの説明・ご提案,セミナーの開催予定があれば案内をお願いします。
00000007,0000000582_00000007_1.jpg,0000000582_00000007_2.jpg,2026-06-15 10:08:42,情報収集、その他,導入予定なし,あまり重要としていない,重要視している,非常に重要視している,確認・比較はしている,あまり重要としていない,重要視している,案内を希望しない,セミナーの開催予定があれば案内をお願いします。
00000008,0000000582_00000008_1.jpg,0000000582_00000008_2.jpg,2026-06-15 10:19:17,製品Aの導入を検討,検討中だが時期未定,あまり重要としていない,重要視している,非常に重要視している,重要視している,非常に重要視している,非常に重要視している,デモ・テスト導入,
00000009,0000000582_00000009_1.jpg,,2026-06-15 10:23:32,製品Aの導入を検討、製品Cの導入を検討,3か月以内,あまり重要としていない,確認・比較はしている,非常に重要視している,重要視している,非常に重要視している,非常に重要視している,デモ・テスト導入,セミナーの開催予定があれば案内をお願いします。
00000010,,,2026-06-15 10:26:22,製品Aの導入を検討、製品Cの導入を検討、情報収集、その他,3か月以内,非常に重要視している,重要視している,確認・比較はしている,重要視している,重要視している,重要視している,営業担当からの説明・ご提案,
00000011,0000000582_00000011_1.jpg,0000000582_00000011_2.jpg,2026-06-15 10:30:28,製品Bの導入を検討、製品Cの導入を検討、情報収集,1年以内,あまり重要としていない,非常に重要視している,非常に重要視している,非常に重要視している,重要視している,確認・比較はしている,お見積り、デモ・テスト導入,
00000012,0000000582_00000012_1.jpg,0000000582_00000012_2.jpg,2026-06-15 10:46:55,情報収集,導入予定なし,非常に重要視している,確認・比較はしている,重要視している,非常に重要視している,確認・比較はしている,非常に重要視している,営業担当からの説明・ご提案、お見積り、デモ・テスト導入,トライアル導入の条件を確認したいです。
00000013,0000000582_00000013_1.jpg,,2026-06-15 10:52:57,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討,検討中だが時期未定,非常に重要視している,重要視している,あまり重要としていない,重要視している,重要視している,あまり重要としていない,お見積り,小規模拠点向けのプランがあるか知りたいです。
00000014,0000000582_00000014_1.jpg,0000000582_00000014_2.jpg,2026-06-15 11:09:54,製品Bの導入を検討、情報収集,検討中だが時期未定,重要視している,非常に重要視している,非常に重要視している,確認・比較はしている,重要視している,確認・比較はしている,営業担当からの説明・ご提案,導入事例をもう少し詳しく知りたいです。特に同業種の事例があれば。
00000015,0000000582_00000015_1.jpg,,2026-06-15 11:10:48,製品Aの導入を検討、情報収集,検討中だが時期未定,確認・比較はしている,重要視している,重要視している,重要視している,重要視している,重要視している,その他,
00000016,0000000582_00000016_1.jpg,0000000582_00000016_2.jpg,2026-06-15 11:11:02,製品Aの導入を検討、製品Bの導入を検討、製品Cの導入を検討,1年以内,非常に重要視している,重要視している,あまり重要としていない,重要視している,重要視している,重要視している,営業担当からの説明・ご提案、お見積り,導入事例をもう少し詳しく知りたいです。特に同業種の事例があれば。
